brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,,,discount,star_rating,ratings,reviews,latest_price,old_price
Infinix,INBook,Intel,Core i3,10th,8 GB GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3,1221,265,6220264.5,9424811.5
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,36990,40614,8,4.3,1178,137,6974464.5,7655739
Lenovo,Ideapad,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4,299,41,10179814.5,14229865
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36990,52990,30,4.4,20,1,6974464.5,9988615
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3,758,64,7342137,9085700
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15,1,No,Yes,39490,55490,28,4.4,634,64,7445839.5,10459865
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147,8671414.5,11119615
Lenovo,Ideapad,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5,4,0,7541811.45,11309811.5
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,42990,56776,24,4.3,17,2,8105764.5,10702276
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,49990,68658,27,4.2,24,5,9425614.5,12942033
